"receita";"uniorcam";"orcado";"arrecadado";"recurso_vinculado";"especificacao";"tipo_nivel";"nivel";"caracteristica_peculiar_receita";"previsao_atualizada";"complemento_recurso_vinculado";"exercicio_base"
"00000111801130000000";"0201";71140,9;52184,93;0;"Imposto sobre a Propriedade Predial e Territorial Urbana - Divida Ativa";"S";6;0;71140,9;NA;2018
"00000111801130100000";"0201";42684,54;31310,31;1;"IPTU - Divida Ativa - PROPRIO";"A";7;0;42684,54;NA;2018
"00000111801130200000";"0201";17785,22;13046,83;20;"IPTU - Divida Ativa - MDE";"A";7;0;17785,22;NA;2018
"00000111801130300000";"0201";10671,14;7827,79;40;"IPTU - Divida Ativa - ASPS";"A";7;0;10671,14;NA;2018
"00000111801140000000";"0201";24030,26;18024,31;0;"Imposto sobre a Propriedade Predial e Territorial Urbana - Divida Ativa - Multas e Juros";"S";6;0;24030,26;NA;2018
"00000111801140100000";"0201";14418,16;10814,1;1;"IPTU - Divida Ativa - Multas e Juros - PROPRIO";"A";7;0;14418,16;NA;2018
"00000111801140200000";"0201";6007,56;4506,46;20;"IPTU - Divida Ativa - Multas e Juros - MDE";"A";7;0;6007,56;NA;2018
"00000111801140300000";"0201";3604,54;2703,75;40;"IPTU - Divida Ativa - Multas e Juros - ASPS";"A";7;0;3604,54;NA;2018
"00000111801400000000";"0201";444013,65;953201,76;0;"Imposto sobre Transmissao “Inter Vivos” de Bens Imoveis e de Direitos Reais sobre Imoveis";"S";6;0;875263,65;NA;2018
"00000111801410000000";"0201";444013,65;953201,76;0;"Imposto sobre Transmissao “Inter Vivos” de Bens Imoveis e de Direitos Reais sobre Imoveis - Principa";"S";6;0;875263,65;NA;2018
"00000111801410100000";"0201";266408,19;571921,04;1;"ITBI - Principal - PROPRIO";"A";7;0;527408,19;NA;2018
"00000111801410200000";"0201";111003,41;238300,45;20;"ITBI - Principal - MDE";"A";7;0;219003,41;NA;2018
"00000111801410300000";"0201";66602,05;142980,27;40;"ITBI - Principal - ASPS";"A";7;0;128852,05;NA;2018
"00000111802000000000";"0201";262197,68;321198,86;0;"Impostos sobre a Producao, circulacao de Mercadorias e Servicos";"S";5;0;292197,68;NA;2018
"00000111802300000000";"0201";262197,68;321198,86;0;"Imposto sobre Servicos de Qualquer Natureza";"S";6;0;292197,68;NA;2018
"00000111802310000000";"0201";259969,93;317474,28;0;"Imposto sobre Servicos de Qualquer Natureza - Principal";"S";6;0;289969,93;NA;2018
"00000111802310100000";"0201";155981,96;190483,75;1;"ISS - Principal - PROPRIO";"A";7;0;173981,96;NA;2018
"00000111802310200000";"0201";64992,48;79369,14;20;"ISS - Principal - MDE";"A";7;0;72492,48;NA;2018
"00000111802310300000";"0201";38995,49;47621,39;40;"ISS - Principal - ASPS";"A";7;0;43495,49;NA;2018
"00000111802320000000";"0201";2227,75;3248,58;0;"Imposto sobre Servicos de Qualquer Natureza - Multas e Juros";"S";6;0;2227,75;NA;2018
"00000111802320100000";"0201";1336,65;1949,09;1;"ISS - Multas e Juros - PROPRIO";"A";7;0;1336,65;NA;2018
"00000111802320200000";"0201";556,94;812,19;20;"ISS - Multas e Juros - MDE";"A";7;0;556,94;NA;2018
"00000111802320300000";"0201";334,16;487,3;40;"ISS - Multas e Juros - ASPS";"A";7;0;334,16;NA;2018
"00000111802330000000";"0201";0;373,89;0;"Imposto sobre Servicos de Qualquer Natureza - Divida Ativa";"S";6;0;0;NA;2018
"00000111802330100000";"0201";0;224,34;1;"ISS - Divida Ativa - PROPRIO";"A";7;0;0;NA;2018
"00000111802330200000";"0201";0;93,47;20;"ISS - Divida Ativa - MDE";"A";7;0;0;NA;2018
"00000111802330300000";"0201";0;56,08;40;"ISS - Divida Ativa - ASPS";"A";7;0;0;NA;2018
"00000111802340000000";"0201";0;102,11;0;"Imposto sobre Servicos de Qualquer Natureza - Divida Ativa - Multas e Juros";"S";6;0;0;NA;2018
"00000111802340100000";"0201";0;61,26;1;"ISS - Divida Ativa -Multas e Juros - PROPRIO";"A";7;0;0;NA;2018
"00000111802340200000";"0201";0;25,53;20;"ISS - Divida Ativa -Multas e Juros - MDE";"A";7;0;0;NA;2018
"00000111802340300000";"0201";0;15,32;40;"ISS - Divida Ativa -Multas e Juros - ASPS";"A";7;0;0;NA;2018
"00000112000000000000";"0201";35427,09;45174,66;0;"Taxas";"S";3;0;35427,09;NA;2018
"00000112100000000000";"0201";32590,36;44605,22;0;"Taxas pelo Exercicio do Poder de Policia";"S";4;0;32590,36;NA;2018
"00000112101000000000";"0201";28100,74;38869,22;0;"Taxas de Inspecao, Controle e Fiscalizacao";"S";5;0;28100,74;NA;2018
"00000112101100000000";"0201";28100,74;38869,22;0;"Taxas de Inspecao, Controle e Fiscalizacao";"S";6;0;28100,74;NA;2018
"00000112101110000000";"0201";28100,74;33615;1;"Taxas de Inspecao, Controle e Fiscalizacao - Principal";"A";6;0;28100,74;NA;2018
"00000112101120000000";"0201";0;295,53;1;"Taxas de Inspecao, Controle e Fiscalizacao - Multas e Juros";"A";6;0;0;NA;2018
"00000112101130000000";"0201";0;3724,67;1;"Taxas de Inspecao, Controle e Fiscalizacao - Divida Ativa";"A";6;0;0;NA;2018
"00000112101140000000";"0201";0;1234,02;1;"Taxas de Inspecao, Controle e Fiscalizacao - Divida Ativa - Multas e Juros";"A";6;0;0;NA;2018
"00000112104000000000";"0201";4489,62;5736;0;"Taxa de Controle e Fiscalizacao Ambiental";"S";5;0;4489,62;NA;2018
"00000112104100000000";"0201";4489,62;5736;0;"Taxa de Controle e Fiscalizacao Ambiental";"S";6;0;4489,62;NA;2018
"00000112104110000000";"0201";4489,62;5736;1005;"Taxa de Controle e Fiscalizacao Ambiental - Principal";"A";6;0;4489,62;NA;2018
"00000112200000000000";"0201";2836,73;569,44;0;"Taxas pela Prestacao de Servicos";"S";4;0;2836,73;NA;2018
"00000112201000000000";"0201";2836,73;569,44;0;"Taxas pela Prestacao de Servicos";"S";5;0;2836,73;NA;2018
"00000112201100000000";"0201";2836,73;569,44;0;"Taxas pela Prestacao de Servicos";"S";6;0;2836,73;NA;2018
"00000112201110000000";"0201";2836,73;497;1;"Taxas pela Prestacao de Servicos - Principal";"A";6;0;2836,73;NA;2018
"00000112201140000000";"0201";0;72,44;1;"Taxas pela Prestacao de Servicos - Divida Ativa - Multas e Juros";"A";6;0;0;NA;2018
"00000120000000000000";"0201";892150,05;951572,11;0;"Contribuicoes";"S";2;0;892150,05;NA;2018
"00000121000000000000";"0201";776777,61;792627,91;0;"Contribuicoes Sociais";"S";3;0;776777,61;NA;2018
"00000121004000000000";"0201";776777,61;792627,91;0;"Contribuicao para o Regime Proprio de Previdencia Social - RPPS";"S";5;0;776777,61;NA;2018
"00000121004100000000";"0201";0;0;0;"Contribuicao Patronal de Servidor Ativo Civil para o RPPS";"S";6;0;0;NA;2018
"00000121004120000000";"1201";0;0;50;"Contribuicao Patronal de Servidor Ativo Civil para o RPPS - Multas e Juros";"A";6;0;0;NA;2018
"00000121004200000000";"0201";776777,61;792627,91;0;"Contribuicao do Servidor Ativo Civil para o RPPS";"S";6;0;776777,61;NA;2018
"00000121004210000000";"1201";776777,61;792627,91;50;"Segurados- Contribuicao do Servidor Ativo Civil para o RPPS - Principal";"A";6;0;776777,61;NA;2018
"00000124000000000000";"0201";115372,44;158944,2;0;"Contribuicao para o Custeio do Servico de Iluminacao Publica";"S";3;0;115372,44;NA;2018
"00000124000100000000";"0201";115372,44;158944,2;0;"Contribuicao para o Custeio do Servico de Iluminacao Publica";"S";6;0;115372,44;NA;2018
"00000124000110000000";"0201";115372,44;158944,2;1;"CIP- Contribuicao para o Custeio do Servico de Iluminacao Publica - Principal";"A";6;0;115372,44;NA;2018
"00000130000000000000";"0201";1943817,2;2961013,04;0;"Receita Patrimonial";"S";2;0;2301062,71;NA;2018
"00000131000000000000";"0201";168809,5;173675,72;0;"Exploracao do Patrimonio Imobiliario do Estado";"S";3;0;168809,5;NA;2018
"00000131001000000000";"0201";168809,5;173675,72;0;"Alugueis, Arrendamentos, Foros, Laudemios, Tarifas de Ocupacao";"S";5;0;168809,5;NA;2018
"00000131001100000000";"0201";168809,5;173675,72;0;"Alugueis e Arrendamentos";"S";6;0;168809,5;NA;2018
"00000131001110000000";"0201";168809,5;171624;1;"Alugueis e Arrendamentos - Principal";"A";6;0;168809,5;NA;2018
"00000131001120000000";"0201";0;343,48;1;"Alugueis e Arrendamentos - Multas e Juros";"A";6;0;0;NA;2018
"00000131001130000000";"0201";0;1681,83;1;"Alugueis e Arrendamentos - Divida Ativa";"A";6;0;0;NA;2018
"00000131001140000000";"0201";0;26,41;1;"Alugueis e Arrendamentos - Divida Ativa - Multas e Juros";"A";6;0;0;NA;2018
"00000132000000000000";"0201";1775007,7;2422337,32;0;"Valores Mobiliarios";"S";3;0;1784403,21;NA;2018
"00000132100000000000";"0201";1775007,7;2422337,32;0;"Juros e Correcoes Monetarias";"S";4;0;1784403,21;NA;2018
"00000132100100000000";"0201";133355,87;164565,97;0;"Remuneracao de Depositos Bancarios";"S";6;0;142751,38;NA;2018
"00000132100110000000";"0201";133355,87;164565,97;0;"Remuneracao de Depositos Bancarios - Principal";"S";6;0;142751,38;NA;2018
"00000132100110100000";"0201";0;60600,29;0;"Remuneracao de Depositos de Recursos Vinculados - Principal";"S";7;0;9395,51;NA;2018
"00000132100110102000";"0201";0;13773,61;31;"Remuneracao de Depositos  Bancarios de Recursos Vinculados - FUNDEB - Principal";"A";8;0;0;NA;2018
"00000132100110103000";"0201";0;32797,48;0;"Remuneracao de Depositos  Bancarios de Recursos Vinculados - Fundo de Saude - Principal";"S";8;0;6194,8;NA;2018
"00000132100110103010";"0201";0;2017,4;4510;"Rendimentos do PAB Fixo 4510";"A";8;0;0;NA;2018
"00000132100110103020";"0201";0;1225,72;4111;"Rendimentos Protese Dentaria FE RV4111";"A";8;0;0;NA;2018
"00000132100110103030";"0201";0;2567,03;4303;"Rendimentos Construcao UBS RV4303";"A";8;0;0;NA;2018
"00000132100110103040";"0201";0;532,09;4935;"Rendimentos Construcao UBS RV4935";"A";8;0;266,81;NA;2018
"00000132100110103050";"0201";0;471,46;4710;"Rendimentos PQAVS RV4710";"A";8;0;126,39;NA;2018
"00000132100110103060";"0201";0;64,52;4510;"Rendimentos Telessaude RV4510";"A";8;0;0;NA;2018
"00000132100110103070";"0201";0;552,38;4720;"Rendimentos Aperfeicoamento do SUS RV4720";"A";8;0;237,06;NA;2018
"00000132100110103080";"0201";0;979,2;4710;"Rendimentos IPVS RV4710";"A";8;0;265,97;NA;2018
"00000132100110103090";"0201";0;1503,15;4050;"Rendimentos Fraldas RV4050";"A";8;0;0;NA;2018
"00000132100110103100";"0201";0;1023,47;4590;"Rendimentos Teto MAC RV4590";"A";8;0;0;NA;2018
"00000132100110103110";"0201";0;414,25;4521;"Rendimentos PMAQ RV4521";"A";8;0;0;NA;2018
"00000132100110103120";"0201";0;4653,39;4931;"Rendimentos C/C 11.229-1 Equip Mat Perm FMS RV4931";"A";8;0;0;NA;2018
"00000132100110103130";"0201";0;4494,52;4931;"Rendimentos C/C 11.304-2 Equip Mat Perm FMS RV4931";"A";8;0;0;NA;2018
"00000132100110103140";"0201";0;172,56;4520;"Rendimentos Implantacao NASF RV4520";"A";8;0;0;NA;2018
"00000132100110103150";"0201";0;991,88;4760;"Rendimentos Acoes Estrut VISA RV4760";"A";8;0;260,86;NA;2018
"00000132100110103160";"0201";0;310,49;4520;"RENDIMENTOS DO PAB VARIAVEL";"A";8;0;0;NA;2018
"00000132100110103180";"0201";0;89,96;4503;"RENDIMENTOS ASSISTENCIA FARMACEUTICAFEDERAL RV4503";"A";8;0;86,66;NA;2018
"00000132100110103190";"0201";0;131,96;4160;"RENDIMENTOS PIM ESTADUAL 4160";"A";8;0;0;NA;2018
"00000132100110103200";"0201";0;1222,38;4011;"RENDIMENTOS PIES 4011 FE";"A";8;0;1048,77;NA;2018
"00000132100110103210";"0201";0;279,8;4050;"RENDIMENTOS FARMACIA BASICA FE 4050 FE";"A";8;0;0;NA;2018
"00000132100110103220";"0201";0;1464,19;4090;"RENDIMENTO PSF ESTADUAL 4090 FE";"A";8;0;1400;NA;2018
"00000132100110103240";"0201";0;1909,57;4936;"RENDIMENTOS AMBULANCIA PORT3673 RV4936";"A";8;0;0;NA;2018
"00000132100110103250";"0201";0;1518,72;4931;"Rendimentos Equip Mat Perman FMS RV4931";"A";8;0;0;NA;2018
"00000132100110103260";"0201";0;4187,99;4520;"REND. INCREMENTO TEMPORARIO PISO AB EMENDA PARLAMENTAR PORT1000/18";"A";8;0;2500;NA;2018
"00000132100110103270";"0201";0;2,28;4011;"1734-REND. INCENTIVO P/ CONTROLE DA TUBERCULOSE (PMCT) NA ATENCAO BASICA 4011 FE RES CIBS 507/11";"A";8;0;2,28;NA;2018
"00000132100110103290";"0201";0;17,12;4503;"REND. ORGANIZACAO FARMACIA BLOCO CUSTEIO RV 4503";"A";8;0;0;NA;2018
"00000132100110107000";"0201";0;3519,36;0;"Remuneracao de Depositos  Bancarios de Recursos Vinculados - Fundo Nacional de Assistencia Social -";"S";8;0;854,27;NA;2018
"00000132100110107010";"0201";0;1038,54;1064;"Rendimentos PSB PBFI FMAS RV1064";"A";8;0;854,27;NA;2018
"00000132100110107020";"0201";0;1706,23;1021;"Rendimentos PSB SCFV FMAS RV1021";"A";8;0;0;NA;2018
"00000132100110107030";"0201";0;343,25;1038;"Rendimentos GBF IGDBG RV1038";"A";8;0;0;NA;2018
"00000132100110107040";"0201";0;237,64;1067;"Rendimentos GSUAS IGD-SUAS FMAS RV1067";"A";8;0;0;NA;2018
"00000132100110107050";"0201";0;193,7;1103;"Rendimentos OASF/FEAS RV1103";"A";8;0;0;NA;2018
"00000132100110108000";"0201";0;1168,5;0;"Remuneracao de Depositos  Bancarios de Recursos Vinculados - Fundo Nacional de Desenvolvimento da Ed";"S";8;0;16,81;NA;2018
"00000132100110108010";"0201";0;95,49;1071;"Rendimentos PNAE Educ. Espacial RV1071";"A";8;0;0;NA;2018
"00000132100110108020";"0201";0;39,77;1059;"Rendimentos PNAE EJA RV1059";"A";8;0;0;NA;2018
"00000132100110108030";"0201";0;389,72;1014;"Rendimentos Salario Educacao QSE RV1014";"A";8;0;0;NA;2018
"00000132100110108040";"0201";0;542,84;1017;"Rendimentos PEATERS RV1017";"A";8;0;0;NA;2018
"00000132100110108050";"0201";0;83,87;1016;"Rendimentos do PNATE RV1016";"A";8;0;0;NA;2018
"00000132100110108060";"0201";0;16,81;1072;"RENDIMENTOS Apoio Financeiro AFM - Resolucao FNDE 11/2018";"A";8;0;16,81;NA;2018
"00000132100110109000";"0201";0;161,67;0;"Remuneracao de Depositos  Bancarios de Recursos Vinculados - Fundo de Assistencia Social do Servidor";"S";8;0;0;NA;2018
"00000132100110109080";"0201";0;161,67;1202;"Rend Poup Trator Agricola SICONV 034964/2016 RV1202";"A";8;0;0;NA;2018
"00000132100110199000";"0201";0;9179,67;0;"Remuneracao de Outros Depositos  Bancarios de Recursos Vinculados - Principal";"S";8;0;2329,63;NA;2018
"00000132100110199010";"0201";0;1160,23;1005;"Rendimentos FMDMA RV1005";"A";8;0;0;NA;2018
"00000132100110199020";"0201";0;80,22;1065;"Rendimentos Alienacao L2345/12 FHIS RV1065";"A";8;0;80,22;NA;2018
"00000132100110199030";"0201";0;1593,59;1039;"Rendimentos Poupanca Pavim. Esq. Budel CR101314607/2013 RV1039";"A";8;0;0;NA;2018
"00000132100110199040";"0201";0;39,8;1024;"Rend. Poup. Revit. Praca Joao Saffi RV1024";"A";8;0;0;NA;2018
"00000132100110199050";"0201";0;3884,68;1022;"Rend. Poup. Quadra Joao Saffi RV1022";"A";8;0;0;NA;2018
"00000132100110199060";"0201";0;161,03;1050;"Rendimentos IR Doacao FUNDICA RV1050";"A";8;0;0;NA;2018
"00000132100110199070";"0201";0;2249,41;1010;"Rendimentos Leilao Outros RV1010";"A";8;0;2249,41;NA;2018
"00000132100110199080";"0201";0;10,71;1022;"Rend. Aplic. Quadra Joao Saffi RV1022";"A";8;0;0;NA;2018
"00000132100110200000";"0201";133355,87;103965,68;0;"Remuneracao de Depositos de Recursos Nao Vinculados - Principal";"S";7;0;133355,87;NA;2018
"00000132100110201000";"0201";0;425,77;0;"Remuneracao de Depositos de Recursos Nao Vinculados - Depositos de Poupanca - Principal";"S";8;0;0;NA;2018
"00000132100110201020";"0201";0;425,77;1;"Rendimentos Poupanca Contrapartida Pavim. Esq. Budel CR101314607/2013 RV0001";"A";8;0;0;NA;2018
"00000132100110299000";"0201";133355,87;103539,91;0;"Remuneracao de Outros Depositos  Bancarios de Recursos Nao Vinculados - Principal";"S";8;0;133355,87;NA;2018
"00000132100110299010";"0201";62243,46;56073,4;1;"Rendimentos do Executivo - BB";"A";8;0;62243,46;NA;2018
"00000132100110299020";"0201";62243,46;40539;1;"Rendimentos do Executivo - Banrisul";"A";8;0;62243,46;NA;2018
"00000132100110299040";"0201";8868,95;6927,51;1;"Rendimentos do Legislativo - Banrisul";"A";8;0;8868,95;NA;2018
"00000132100400000000";"0201";1641651,83;2257771,35;0;"Remuneracao dos Recursos do Regime Proprio de Previdencia Social - RPPS";"S";6;0;1641651,83;NA;2018
"00000132100410000000";"1201";1641651,83;2257771,35;0;"Remuneracao dos Recursos do Regime Proprio de Previdencia Social - RPPS - Principal";"S";6;0;1641651,83;NA;2018
"00000132100410100000";"1201";234521,69;569329,4;50;"FPSM BB PREVID RF IMA-B TIT PUBL FI";"A";7;0;234521,69;NA;2018
"00000132100410200000";"1201";234521,69;477419,41;50;"FPSM BB RF IMAB 5+";"A";7;0;234521,69;NA;2018
"00000132100410300000";"1201";234521,69;217838,79;50;"FPSM CEF NOVO BRASIL RF LP";"A";7;0;234521,69;NA;2018
"00000132100410400000";"1201";234521,69;299116,55;50;"FPSM CEF FI BRASIL IRF-M 1 TIT PUB RF";"A";7;0;234521,69;NA;2018
"00000132100410500000";"1201";234521,69;0;50;"FPSM BB PREVIDENCIARIO RF TP VIII FI";"A";7;0;234521,69;NA;2018
"00000132100410600000";"1201";234521,69;384218,51;50;"FPSM CEF CAIXA BRASIL 2024 III TP RF";"A";7;0;234521,69;NA;2018
"00000132100410700000";"1201";234521,69;309848,69;50;"FPSM BB PREV RF IRF-M 1 TP";"A";7;0;234521,69;NA;2018
"00000136000000000000";"0201";0;365000;0;"Cessao de Direitos";"S";3;0;347850;NA;2018
"00000136001000000000";"0201";0;365000;0;"Cessao do Direito de Operacionalizacao de Pagamentos";"S";5;0;347850;NA;2018
"00000136001100000000";"0201";0;365000;0;"Cessao do Direito de Operacionalizacao de Pagamentos";"S";6;0;347850;NA;2018
"00000136001110000000";"0201";0;365000;1;"Cessao do Direito de Operacionalizacao de Pagamentos - Principal";"A";6;0;347850;NA;2018
"00000160000000000000";"0201";60518,35;169405,5;0;"Receita de Servicos";"S";2;0;120518,35;NA;2018
"00000161000000000000";"0201";12421,5;163282,5;0;"Servicos Administrativos e Comerciais Gerais";"S";3;0;72421,5;NA;2018
"00000161001000000000";"0201";12421,5;60262,5;0;"Servicos Administrativos e Comerciais Gerais";"S";5;0;12421,5;NA;2018
"00000161001100000000";"0201";12421,5;60262,5;0;"Servicos Administrativos e Comerciais Gerais";"S";6;0;12421,5;NA;2018
"00000161001110000000";"0201";12421,5;59823;1;"Servicos Administrativos e Comerciais Gerais - Principal";"A";6;0;12421,5;NA;2018
"00000161001120000000";"0201";0;2,32;1;"Servicos Administrativos e Comerciais Gerais - Multas e Juros";"A";6;0;0;NA;2018
"00000161001130000000";"0201";0;407,12;1;"Servicos Administrativos e Comerciais Gerais - Divida Ativa";"A";6;0;0;NA;2018
"00000161001140000000";"0201";0;30,06;1;"Servicos Administrativos e Comerciais Gerais - Divida Ativa - Multas e Juros";"A";6;0;0;NA;2018
"00000161002000000000";"0201";0;103020;0;"Inscricao em Concursos e Processos Seletivos";"S";5;0;60000;NA;2018
"00000161002100000000";"0201";0;103020;0;"Inscricao em Concursos e Processos Seletivos";"S";6;0;60000;NA;2018
"00000161002110000000";"0201";0;103020;1;"Inscricao em Concursos e Processos Seletivos - Principal";"A";6;0;60000;NA;2018
"00000162000000000000";"0201";0;1296;0;"Servicos e Atividades Referentes a Navegacao e ao Transporte";"S";3;0;0;NA;2018
"00000162002000000000";"0201";0;1296;0;"Servicos de Transporte";"S";5;0;0;NA;2018
"00000162002100000000";"0201";0;1296;0;"Servicos de Transporte";"S";6;0;0;NA;2018
"00000162002110000000";"0201";0;1296;1;"Servicos de Transporte - Principal";"A";6;0;0;NA;2018
"00000164000000000000";"0201";0;4827;0;"Servicos e Atividades Financeiras";"S";3;0;0;NA;2018
"00000164001000000000";"0201";0;4827;0;"Retorno de Operacoes, Juros e Encargos Financeiros";"S";5;0;0;NA;2018
"00000164001100000000";"0201";0;4827;0;"Retorno de Operacoes, Juros e Encargos Financeiros";"S";6;0;0;NA;2018
"00000164001110000000";"0201";0;4827;1;"Retorno de Operacoes, Juros e Encargos Financeiros - Principal";"A";6;0;0;NA;2018
"00000169000000000000";"0201";48096,85;0;0;"Outros Servicos";"S";3;0;48096,85;NA;2018
