"conta_contabil";"uniorcam";"saldo_anterior_debito";"saldo_anterior_credito";"movimento_debito";"movimento_credito";"saldo_atual_debito";"saldo_atual_credito";"especificacao";"tipo_nivel";"nivel";"obsoleto1";"escrituracao";"natureza_informacao";"indicador_superavit";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000111111902030000";"0201";0;0;45260,43;45260,43;0;0;"BB ICMS EXP PREF MOV 0001 3732-X/283.141-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902040000";"0201";0;0;123309,59;123309,59;0;0;"BB FE PREF MOV 0001 3732-X/4.015-0";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902050000";"0201";0;0;84983,27;84983,27;0;0;"BB ITR PREF MOV 0001 3732-X/7.385-7";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902060000";"0201";0;0;0;0;0;0;"BB FEX PREF MOV 0001 3732-X/7.704-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902070000";"0801";1354,16;0;899359,45;898696,4;2017,21;0;"BB GERAL FMS MOV 0040 3732-X/10.062-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902080000";"0502";0;0;0;0;0;0;"BB MAN EDUC INF TD APOIO CRECHES MOV 1003 3732-X/10.559-7";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902090000";"0201";0;0;103020;103020;0;0;"BB CONCURSO PUBLICO PREF MOV 0001 3732-X/10.319-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902110000";"0201";364,44;0;698519,54;635544,03;63339,95;0;"BB MDE PREF MOV 0020 3732-X/5.011-3";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902120000";"0201";0;0;87736,24;87736,24;0;0;"BB PNATE-TE PREF MOV 1016 3732-X/7.767-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902130000";"0201";7690;0;445889,09;453579,09;0;0;"BB QSE PREF MOV 1014 3732-X/7.684-8";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902140000";"0201";0;0;20264,73;20264,73;0;0;"BB CIDE PREF MOV 1018 3732-X/7.827-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902150000";"0801";0;0;1073956,5;1073956,5;0;0;"BB FUNDEB PREF MOV 0031 3732-X/11.552-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902160000";"0801";0;0;58185,28;58185,28;0;0;"BB ORGANIZACAO FARMACIA INVESTIMENTO FMS MOV 4505 3732-X/11.482-0";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902170000";"0801";0;0;0;0;0;0;"BB TETO MUN. MAC REDE CEGONHA FMS MOV 4590 3732-X/9.953-8";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902180000";"0501";0;0;540;540;0;0;"BB PDDE PREF MOV 1036 3732-X/5.605-7";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902190000";"0201";0;0;5056301,6;5056301,6;0;0;"BB FUNDEB PREF MOV 0031 3732-X/8.837-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902200000";"0201";0;0;24000;24000;0;0;"BB ORGANIZACAO FARMACIA BLOCO CUSTEIO FMS MOV 4503 3732X/11.473-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902210000";"0201";0;0;25200;25200;0;0;"BB PNAE FUNDAMENTAL PREF MOV 1001 3732-X/9.622-9";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902220000";"0201";0;0;22898;22898;0;0;"BB PNAC CRECHE PREF MOV 1031 3732-X/9.622-9";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902230000";"0201";0;0;12932;12932;0;0;"BB PNAP PRE ESCOLA PREF MOV 1033 3732-X/9.622-9";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902240000";"0201";0;0;5232,45;5232,45;0;0;"BB PNAE JOVENS E ADULTOS PREF MOV 1059 3732-X/9.622-9";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902250000";"0501";0;0;0;0;0;0;"BB PNAE MAIS EDUCACAO FUNDAMENTAL PREF MOV 1070 3732-X/9.622-9";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902260000";"0201";0;0;0;0;0;0;"BB ASSIST. FARM. BASICA FMS MOV 4503 3732-X/9.951-1";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902270000";"0201";0;0;0;0;0;0;"BB PISO FIXO VIGIL. PROMO. SAUDE FMS MOV 4710 3732-X/9.954-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902280000";"0201";0;0;13119,45;13119,45;0;0;"BB ACOES ESTRUT. VISA FMS MOV 4760 3732-X/9.954-6";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902290000";"0201";0;0;0;0;0;0;"[DISPONIVEL  BB ATIV. FISICA PREV. DOENCAS E AGRAVOS FMS MOV 4710 3732-X/9.954-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902300000";"0201";0;0;118125,93;118125,93;0;0;"BB PAB FIXO FMS MOV 4510 3732-X/9.952-X";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902330000";"0201";0;0;0;0;0;0;"[DISPONIVEL  BB PSF FMS MOV 4520 3732-X/9.952-X";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902340000";"0201";0;0;0;0;0;0;"[DISPONIVEL  BB PVVPS VACINAS FMS MOV 4710 3732-X/9.954-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902350000";"0901";0;0;0;0;0;0;"[DISPONIVEL  BB IGD-BF FMAS MOV 1038 3732-X/10.322-5";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902360000";"0901";0;0;0;0;0;0;"[DISPONIVEL  BB PBFI PAIF FMAS MOV 1064 3732-X/10.326-8";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902370000";"0901";0;0;0;0;0;0;"[DISPONIVEL  BB PBV II FMAS MOV 1020 3732-X/10.324-1";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902380000";"0901";0;0;0;0;0;0;"[DISPONIVEL";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902390000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BB INCENTIVO QUALIFICACAO DENGUE FMS MOV 4710 3732-X/9.954-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902400000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BB REPASSE ESTRUTURACAO TECNOLOGICA VISA FMS MOV 4710 3732-X/9.954-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902420000";"0201";0;0;78146,83;78146,83;0;0;"BB SNA PREF MOV 0001 3732-X/8.928-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902430000";"0201";0;0;4311,26;4311,26;0;0;"BB PNAE ALIM. EDUC. ESPECIAL PREF MOV 1071 3732-X/9.622-9";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902450000";"0801";0;0;22882,63;22479,17;403,46;0;"BB CONSTRUCAO UBS FMS MOV 4935 3732-X/10.741-7";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902460000";"0201";0;0;0;0;0;0;"[DISPONIVEL  BB AUXILIO FINANCEIRO LEI 12859/MP613/2013 PREF MOV 0001 3732-X/10.759-X";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902470000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BB PROG SAUDE NA ESCOLA PSE FMS MOV 4520 3732-X/9.952-X";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902480000";"0901";0;0;0;0;0;0;"[DISPONIVEL  BB PBV-SCFV FMAS MOV 1021 3732-X/10.726-3";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902490000";"0201";0;0;285;285;0;0;"BB PQAVS FMS MOV 4710 3732-X/9.954-6";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902500000";"0801";0;0;2577,78;2577,78;0;0;"BB UBS - INFORMATIZ. TELESSAUDE FMS MOV 4510 3732-X/9.952-X";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902510000";"0201";0;0;18107,06;10142,7;7964,36;0;"BB APERFEIC. SUS FMS MOV 4710 3732-X/9.546-X";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902520000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BB ALIENACAO BENS SAUDE FMS MOV 4002 3732-X/10.916-9";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902530000";"0201";0;0;19104,16;19104,16;0;0;"BB IPVS FMS MOV 4710 3732-X/9.954-6";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902540000";"0502";0;0;0;0;0;0;"[DISPONIVEL  BB BRASIL CARINHOSO MOV 1013 3732-X/10.951-7";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902560000";"0701";0;0;2885,62;2885,62;0;0;"BB CIP PREF MOV 0001 3732-X/7.641-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902570000";"0201";0;0;79347,92;79347,92;0;0;"BB MAC FMS MOV 4590 3732-X/9953-8";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902580000";"0201";0;0;0;0;0;0;"BB CONTRAP. CONSTRUCAO UBS FMS MOV 0040 3732-X/10.741-7";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902590000";"0201";0;0;0;0;0;0;"BB EQUIP MAT PERM FMS MOV 4931 3732-X/10.925-8";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902600000";"0201";0;0;307463,54;307463,54;0;0;"BB PSB FMAS MOV 3732-X/11.143-0";"S";8;"F";"N";"P";"F";0;NA;2018
"00000111111902600100";"0902";0;0;149172,26;149172,26;0;0;"BB PSB PBFI FMAS MOV 1064 3732-X/11.143-0";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902600200";"0902";0;0;158291,28;158291,28;0;0;"BB PSB SCFV FMAS MOV 1021 3732-X/11.143-0";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902600300";"0902";0;0;0;0;0;0;"[DISPONIVEL  BB PSB PBVII FMAS MOV 1020 3732-X/11.143-0";"A";9;"F";"N";"P";"F";0;NA;2018
"00000111111902610000";"0201";0;0;33692,8;33692,8;0;0;"BB GBF FMAS MOV 3732-X/11.141-4";"S";8;"F";"N";"P";"F";0;NA;2018
"00000111111902610100";"0902";0;0;33692,8;33692,8;0;0;"BB GBF IGDBF FMAS MOV 1038 3732-X/11.141-4";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902620000";"0201";0;0;25875,5;25875,5;0;0;"BB IGD-SUAS FMAS MOV 3732-X/11.142-2";"S";8;"F";"N";"P";"F";0;NA;2018
"00000111111902620100";"0902";0;0;25875,5;25875,5;0;0;"BB IGD-SUAS GSUAS FMAS 1067 MOV 3732-X/11.142-2";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902630100";"0902";0;0;0;0;0;0;"[DISPONIVEL  BB AP REDE CNEAS FMAS MOV 1027 3732-X/11.140-6";"A";9;"F";"N";"P";"F";0;NA;2018
"00000111111902640000";"0202";0;0;28637,32;28637,32;0;0;"BB IR DOACAO FUNDICA MOV 1050 3732-X/11.012-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902650000";"0801";0;0;36892,03;36892,03;0;0;"BB PMAQ FMS MOV 4521 3732-X/9.952-X";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902660000";"0801";0;0;47185,05;47185,05;0;0;"BB (15) EQUIP MAT PERM FMS MOV 4931 3732-X/11.229-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902670000";"0801";0;0;193897,64;190708,49;3189,15;0;"BB (16) EQUIP MAT PERM FMS MOV 4931 3732-X/11.304-2";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902680000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BB  TESTE GRAVIDEZ FMS MOV 4520 3732-X/9.952-X";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111902690000";"0201";0;0;65291,5;65291,5;0;0;"BB LEILAO MOV 0000 3732-X/11.411-1";"S";8;"F";"N";"P";"F";0;NA;2018
"00000111111902690100";"0201";0;0;0;0;0;0;"[DISPONIVEL  BB LEILAO SUCATA MOV 0001 3732-X/11.411-1";"A";9;"F";"N";"P";"F";0;NA;2018
"00000111111902690200";"0201";0;0;65291,5;65291,5;0;0;"BB LEILAO OUTROS MOV 1010 3732-X/11.411-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902690300";"0501";0;0;0;0;0;0;"[DISPONIVEL  BB LEILAO EDUCACAO MOV 1011 3732-X/11.411-1";"A";9;"F";"N";"P";"F";0;NA;2018
"00000111111902690400";"0801";0;0;0;0;0;0;"[DISPONIVEL  BB LEILAO FMS MOV 4002 3732-X/11.411-1";"A";9;"F";"N";"P";"F";0;NA;2018
"00000111111902700000";"0801";0;0;8173,4;5057,59;3115,81;0;"BB IMPLANTACAO NASF FMS MOV 4520 3732-X/9.952-X";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902710000";"0801";12037,61;0;0;12037,61;0;0;"BB NASF FMS MOV 4520 3732-X/9.952-X";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902720000";"0201";0;0;1573759,95;1562759,95;11000;0;"BB BLOCO DE CUSTEIO SUS MOV 4000 FMS 3732-X/11.473-1";"S";8;"F";"N";"P";"F";0;NA;2018
"00000111111902720100";"0801";0;0;278354,69;278354,69;0;0;"BB PAB FIXO MOV 4510 FMS 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902720200";"0801";0;0;720643,16;720643,16;0;0;"BB PAB VARIAVEL MOV 4520 FMS 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902720300";"0801";0;0;74542,5;74542,5;0;0;"BB ASSIST. FARMACEUTICA MOV 4503 FMS 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902720400";"0801";0;0;78428,77;78428,77;0;0;"BB VISA MOV 4502 FMS 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902720500";"0801";0;0;79281,32;79281,32;0;0;"BB AFM MOV 4520 FMS 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902720600";"0801";0;0;6790,47;6790,47;0;0;"BB MAC MOV 4501 FMS 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902720700";"0801";0;0;324719,04;324719,04;0;0;"BB EMENDAS AB MOV 4520 FMS 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902720800";"0801";0;0;11000;0;11000;0;"BB GESTAO MOV 4504 3732-X/11.473-1";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902730000";"0201";0;0;239500;239500;0;0;"BB BLOCO DE INVESTIMENTO SUS MOV 4000 FMS 3732-X/11.482-0";"S";8;"F";"N";"P";"F";0;NA;2018
"00000111111902730100";"0801";0;0;239500;239500;0;0;"BB AMBULANCIA PORT3673 SUS MOV 4936 FMS 3732-X/11.482-0";"A";9;"F";"S";"P";"F";0;NA;2018
"00000111111902740000";"0502";0;0;95154,39;95154,39;0;0;"BB AFM EDUCACAO MOV 1072 3732-X/11.535-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903000000";"0201";0;0;1459308,26;1459308,26;0;0;"CAIXA ECONOMICA FEDERAL";"S";7;"F";"N";"P";"F";0;NA;2018
"00000111111903010000";"1201";0;0;114228,55;114228,55;0;0;"CEF GERAL FPSM MOV 0050 0521/06.0071-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903020000";"0902";0;0;5242,73;5242,73;0;0;"CEF MINHA CASA MINHA VIDA FHIS MOV 0001 0521/06.249-8";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903030000";"0902";0;0;0;0;0;0;"[DISPONIVEL  CEF ALIENACAO IMOVEIS PROJ. HABIT. FHIS MOV 1065 0521/00.254-4";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903040000";"0201";0;0;0;0;0;0;"[DISPONIVEL  CEF GERAL PREF MOV 0001 0521/00.281-1";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903080000";"0701";0;0;0;0;0;0;"[DISPONIVEL  CEF PAVIMENTACAO CONTR. REP. 0334593-27/2010 PREF CONTRAP 1069 0521/647.131-7";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903090000";"0201";0;0;0;0;0;0;"[DISPONIVEL  CEF CONTRA-PARTIDA REFORMA ESTADIO MUNICIPAL PREF MOV 1119 0521/47.129-5";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903100000";"1001";0;0;0;0;0;0;"[DISPONIVEL  CEF CONV. MAPA 758311/2011 PATRULHA AGRICOLA PREF CONTRAP 1061 0521/647.145-7";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903110000";"0903";0;0;0;0;0;0;"[DISPONIVEL  CEF ALIENACAO L2345/12 FHIS MOV 1065 0521/00.300-1";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903130000";"0601";0;0;0;0;0;0;"[DISPONIVEL  CEF CONTRAPARTIDA ROLO COMPACTADOR CR1020223-20 MOV 0001 0521/00647202-0";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903140000";"0703";0;0;89756,88;89756,88;0;0;"CEF PAVIM ESQ BUDEL CR101314607/2013 PREF MOV 1039 0521/006/00647184-8";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903150000";"0703";0;0;425,77;425,77;0;0;"CEF CONTRAP PAVIM ESQ BUDEL CR101314607/2013 PREF MOV 0001 0521/006/00647184-8";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903160000";"0702";0;0;10004,56;10004,56;0;0;"CEF MOV REVIT. PRACA JOAO SAFFI PREV MOV 1024 0521/00647180-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903170000";"0702";0;0;0;0;0;0;"[DISPONIVEL  CEF C.P. REVIT. PRACA JOAO SAFFI PREV CONTRAP. 0001 0521/00647180-5";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903180000";"0702";0;0;150880,92;150880,92;0;0;"CEF MOV Federal QUADRA JOAO SAFFI PREF MOV 1022 0521/00647.194-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903190000";"0702";0;0;0;0;0;0;"CEF MOV Contra Partida QUADRA JOAO SAFFI PREF MOV 0001 0521/00647.194-5";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903200000";"1002";0;0;0;0;0;0;"[DISPONIVEL  CEF MOV TRATOR CONV809884/14 PREF MOV 1023 0521/006647203-8";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903210000";"1002";0;0;0;0;0;0;"[DISPONIVEL  CEF MOV CONTRAP TRATOR CONV809884/14 PREF MOV 0001 0521/006647203-8";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111903220000";"1002";0;0;5703,88;5703,88;0;0;"CEF MOV TRATOR AGRICOLA SICONV 034964/2016 1201 0521/00647219-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903230000";"1002";0;0;1000;1000;0;0;"CEF MOV CONTRAP TRATOR AGRICOLA SICONV 034964/2016 0001 0521/00647219-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903240000";"1002";0;0;732769,22;732769,22;0;0;"CEF MOV PATRULHA AGRICOLA CONV852132/2017 1204 0521/006/00647232-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903250000";"1002";0;0;750;750;0;0;"CEF MOV CONTRAP PATRULHA AGRICOLA CONV852132/2017 0001 0521/006/00647232-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903260000";"0602";0;0;347795,75;347795,75;0;0;"CEF MOV PAV CONV829118/2016 1200 0521/006/00647216-0";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111903270000";"0602";0;0;750;750;0;0;"CEF MOV CONTRAP PAV CONV829118/2016 0001 0521/006/00647216-0";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912000000";"0201";0;0;37945575,79;37945575,79;0;0;"BANCO DO ESTADO DO RIO GRANDE DO SUL";"S";7;"F";"N";"P";"F";0;NA;2018
"00000111111912010000";"0801";0;0;2885315,98;2885315,98;0;0;"BANRISUL GERAL FMS MOV 0040 1064/04.028819.0-2";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912020000";"0201";0;0;32137190,38;32137190,38;0;0;"BANRISUL GERAL PREF MOV 0001 944/04.013153.0-6";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912030000";"0201";0;0;109,67;109,67;0;0;"BANRISUL MULTA DE TRANSITO PREF MOV 1114 944/04.018813.0-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912040000";"1004";0;0;0;0;0;0;"BANRISUL GERAL FMDMA MOV 0001 1064/04.028554.0-5";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912060000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL DENGUE FMS MOV 4190 1064/080470.0-9";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912070000";"0201";0;0;562636,32;562636,32;0;0;"BANRISUL TRANSP. ESCOLAR PREF MOV 1017 944/04.019706.0-6";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912080000";"0201";0;0;1579827;1579827;0;0;"BANRISUL MDE PREF MOV 0020 1064/04.024021.0-9";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912100000";"0801";0;0;286464,19;286464,19;0;0;"BANRISUL PSF FMS MOV 4090 1064/04.028722.4-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912110000";"0801";0;0;42867,52;42867,52;0;0;"BANRISUL PIM FMS MOV 4160 1064/04.028722.3-7";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912120000";"0801";0;0;32790,45;32790,45;0;0;"BANRISUL FARMACIA BASICA FMS MOV 4050 1064/04.028722.1-0";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912150000";"0801";0;0;209890,34;209890,34;0;0;"BANRISUL INCENTIVO ATENCAO BASICA FMS MOV 4011 1064/04.028722.9-6";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912160000";"0801";0;0;23715,66;23715,66;0;0;"BANRISUL PROTESE DENTARIA FMS MOV 4111 1064/04.080249.0-4";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912170000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL OFIC. TERAP. CRIANCAS E ADOLESC. RES. 498/11 FMS MOV 4011 1064/04.080471.0-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912180000";"0801";0;0;14931,15;14931,15;0;0;"BANRISUL PSF PACS FMS MOV 4090 1064/04.028722.6-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912190000";"0801";0;0;0;0;0;0;"BANRISUL CONSTRUCAO UBS FMS MOV 4294 1064/04.080276.0-1";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912200000";"0801";0;0;0;0;0;0;"BANRISUL CONTRAPARTIDA CONSTRUCAO UBS FMS MOV 0001 1064/04.080276.0-1";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912210000";"0901";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL OASF FEAS FMAS MOV 1103 1064/04.080233.0-4";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912230000";"1001";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL CONV3953/12 PPC LEITE GAUCHO SDR PREF CONTRAPARTIDA 0001 1064/04.080330.0-8";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912250000";"1001";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL CONV3844/12 PROGR EST DE IRRIGACAO DA SDR PREF CONTRAP 1011 1064/04.080331.0-5";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912270000";"1001";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL CONVENIO 1348/13 REDE DE AGUA AO MIGUEL PREF CONTRAP 1002 1064/04.030549.0-2";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912280000";"1004";0;0;15911;15911;0;0;"BANRISUL GERAL FMDMA MOV 1005 1064/04.028554.0-5";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912290000";"0201";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL CONTRA PARTIDA OASF FEAS FMAS MOV 1103 1064/04.080233.0-4";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912310000";"0801";0;0;0;0;0;0;"[DISPONIVEL  BANRISUL CONTRA PARTIDA AQUISICAO DE AMBULANCIA 4292 FE FMS MOV 0001 1064/04.080821.0-6";"A";8;"F";"N";"P";"F";0;NA;2018
"00000111111912320000";"0902";0;0;15358,3;15358,3;0;0;"BANRISUL OASF FEAS FMAS MOV 1103 1064/04.080682.0-0";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111912330000";"0902";0;0;0;0;0;0;"BANRISUL CONTRA PARTIDA OASF FEAS FMAS MOV 1103 1064/04.080682.0-0";"A";8;"F";"N";"P";"F";0;NA;2018
